Twitter,State,Party,Type,Name,twitter_display_name
RepDannyDavis,IL,Democrat,Representative,Danny K. Davis,Rep. Danny K. Davis
RajaForCongress,IL,Democrat,Representative,Raja Krishnamoorthi,Raja for Congress
janschakowsky,IL,Democrat,Representative,Jan Schakowsky,Jan Schakowsky
RepSchneider,IL,Democrat,Representative,Bradley Schneider,Rep. Brad Schneider
RepBillFoster,IL,Democrat,Representative,Bill Foster,Bill Foster
RepBost,IL,Republican,Representative,Mike Bost,Rep. Mike Bost
RodneyDavis,IL,Republican,Representative,Rodney Davis,US Rep Rodney Davis
RepUnderwood,IL,Democrat,Representative,Lauren Underwood,Rep. Lauren Underwood
RepShimkus,IL,Republican,Representative,John Shimkus,John Shimkus
RepKinzinger,IL,Republican,Representative,Adam Kinzinger,Adam Kinzinger
RepCheri,IL,Democrat,Representative,Cheri Bustos,Rep. Cheri Bustos
ElectLaHood,IL,Republican,Representative,Darin LaHood,Darin LaHood
Braun4Indiana,IN,Republican,Senator,Mike Braun,Mike Braun
SenToddYoung,IN,Republican,Senator,Todd Young,Senator Todd Young
RepVisclosky,IN,Democrat,Representative,Peter Visclosky,Rep. Pete Visclosky
RepWalorski,IN,Republican,Representative,Jackie Walorski,Jackie Walorski
Jim_Banks,IN,Republican,Representative,Jim Banks,Jim Banks
RepJimBaird,IN,Republican,Representative,James Baird,Congressman Jim Baird
SusanWBrooks,IN,Republican,Representative,Susan W. Brooks,Susan W. Brooks
RepGregPence,IN,Republican,Representative,Greg Pence,Rep. Greg Pence
RepAndreCarson,IN,Democrat,Representative,André Carson,André Carson
RepLarryBucshon,IN,Republican,Representative,Larry Bucshon,"Larry Bucshon, MD"
VoteForTrey,IN,Republican,Representative,Trey Hollingsworth,Trey Hollingsworth
ChuckGrassley,IA,Republican,Senator,Chuck Grassley,ChuckGrassley
SenJoniErnst,IA,Republican,Senator,Joni Ernst,Joni Ernst
RepFinkenauer,IA,Democrat,Representative,Abby Finkenauer,Abby Finkenauer
daveloebsack,IA,Democrat,Representative,David Loebsack,Dave Loebsack
RepCindyAxne,IA,Democrat,Representative,Cynthia Axne,Rep. Cindy Axne
SteveKingIA,IA,Republican,Representative,Steve King,Steve King
SenPatRoberts,KS,Republican,Senator,Pat Roberts,Senator Pat Roberts
JerryMoran,KS,Republican,Senator,Jerry Moran,Senator Jerry Moran
RogerMarshallMD,KS,Republican,Representative,Roger Marshall,Dr. Roger Marshall
Rep_Watkins,KS,Republican,Representative,Steve Watkins,Rep. Steve Watkins
RepDavids,KS,Democrat,Representative,Sharice Davids,Rep. Sharice Davids
RepRonEstes,KS,Republican,Representative,Ron Estes,Rep. Ron Estes
RandPaul,KY,Republican,Senator,Rand Paul,Senator Rand Paul
McConnellPress,KY,Republican,Senator,Mitch McConnell,Senator McConnell Press
JamesComer,KY,Republican,Representative,James Comer,James Comer
RepGuthrie,KY,Republican,Representative,S. Brett Guthrie,Rep. Brett Guthrie
RepJohnYarmuth,KY,Democrat,Representative,John A. Yarmuth,Rep. John Yarmuth
RepThomasMassie,KY,Republican,Representative,Thomas Massie,Thomas Massie
RepAndyBarr,KY,Republican,Representative,Andy Barr,Rep. Andy Barr
JohnKennedyLA,LA,Republican,Senator,John Kennedy,John Neely Kennedy
BillCassidy,LA,Republican,Senator,Bill Cassidy,"Bill Cassidy, M.D."
SteveScalise,LA,Republican,Representative,Steve Scalise,Steve Scalise
RepRichmond,LA,Democrat,Representative,Cedric Richmond,Rep Cedric Richmond
CaptClayHIggins,LA,Republican,Representative,Clay Higgins,Clay Higgins
RepMikeJohnson,LA,Republican,Representative,Mike Johnson,Rep. Mike Johnson
RepAbraham,LA,Republican,Representative,Ralph Abraham,Rep. Ralph Abraham
RepGarretGraves,LA,Republican,Representative,Garret Graves,Rep. Garret Graves
SenAngusKing,ME,Independent,Senator,Angus King,Senator Angus King
SenatorCollins,ME,Republican,Senator,Susan Collins,Sen. Susan Collins
chelliepingree,ME,Democrat,Representative,Chellie Pingree,Congresswoman Chellie Pingree
RepGolden,ME,Democrat,Representative,Jared Golden,Congressman Jared Golden
ChrisVanHollen,MD,Democrat,Senator,Chris Van Hollen,Senator Chris Van Hollen
